# Data on the measured reflection coefficient for the case that the loudspeaker is attached to the measurement section (Small Pipe) 
# DataFile 2014-09_RigidPlate\LongRange1Pa_NoProtGrid\ 
# f, abs(R), deg(R), Sr, Stheta
f 	 mag 	 phase 	 Sr 	 Stheta 
1.320000e+03 	 9.928771e-01 	 -6.134275e-01 	 5.383575e-04 	 2.639653e-01
1.330000e+03 	 9.927607e-01 	 -9.969889e-02 	 4.530907e-04 	 2.675579e-01
1.340000e+03 	 9.927056e-01 	 -1.180183e-01 	 7.454688e-04 	 2.687125e-01
1.350000e+03 	 9.927802e-01 	 -5.165980e-01 	 8.546561e-04 	 2.712253e-01
1.360000e+03 	 9.926758e-01 	 -6.011831e-01 	 9.000554e-04 	 2.744255e-01
1.370000e+03 	 9.928660e-01 	 -6.327762e-01 	 9.297402e-04 	 2.778893e-01
1.380000e+03 	 9.927496e-01 	 -1.310477e-01 	 8.078903e-04 	 2.828850e-01
1.390000e+03 	 9.928442e-01 	 -1.265701e-01 	 3.567955e-04 	 2.897735e-01
1.400000e+03 	 9.925785e-01 	 -3.344048e-01 	 6.785164e-04 	 2.917005e-01
1.410000e+03 	 9.920121e-01 	 -1.469901e-01 	 1.084397e-03 	 2.913456e-01
1.420000e+03 	 9.916841e-01 	 -6.720708e-02 	 1.185596e-03 	 2.937170e-01
1.430000e+03 	 9.902233e-01 	 -1.390125e-01 	 1.070943e-03 	 2.986902e-01
1.440000e+03 	 9.893524e-01 	 -4.563522e-01 	 1.916601e-04 	 3.081345e-01
1.450000e+03 	 9.890730e-01 	 -2.525836e-01 	 5.834269e-04 	 3.094966e-01
1.460000e+03 	 9.890876e-01 	 -5.075638e-01 	 9.035326e-04 	 3.096776e-01
1.470000e+03 	 9.889752e-01 	 -1.313053e-02 	 1.096643e-03 	 3.100513e-01
1.480000e+03 	 9.888621e-01 	 -3.310912e-01 	 1.206968e-03 	 3.107268e-01
1.490000e+03 	 9.889193e-01 	 -1.988537e-01 	 1.263248e-03 	 3.116222e-01
1.500000e+03 	 9.889759e-01 	 -1.036735e-01 	 1.295178e-03 	 3.123361e-01
1.510000e+03 	 9.888331e-01 	 -3.159788e-01 	 1.305672e-03 	 3.127740e-01
1.520000e+03 	 9.890690e-01 	 -5.768709e-02 	 1.250972e-03 	 3.136816e-01
1.530000e+03 	 9.882543e-01 	 -6.215872e-02 	 1.685531e-04 	 3.214039e-01
1.540000e+03 	 9.885177e-01 	 7.897382e-03 	 7.065093e-04 	 3.181255e-01
1.550000e+03 	 9.890818e-01 	 -1.992717e-01 	 7.802524e-04 	 3.163113e-01
1.560000e+03 	 9.899579e-01 	 -2.908543e-01 	 7.749967e-04 	 3.149495e-01
1.570000e+03 	 9.906410e-01 	 -3.375113e-02 	 7.606250e-04 	 3.137175e-01
1.580000e+03 	 9.917482e-01 	 -2.426003e-01 	 7.461186e-04 	 3.124486e-01
1.590000e+03 	 9.924229e-01 	 -1.885666e-01 	 3.235596e-04 	 3.138132e-01
1.600000e+03 	 9.930356e-01 	 -5.007979e-01 	 2.513108e-04 	 3.133136e-01
1.610000e+03 	 9.932354e-01 	 -1.341017e-01 	 3.409879e-04 	 3.129462e-01
1.620000e+03 	 9.933540e-01 	 -2.852685e-01 	 3.245050e-04 	 3.134078e-01
1.630000e+03 	 9.935604e-01 	 -1.049875e-02 	 1.951258e-04 	 3.148071e-01
1.640000e+03 	 9.936767e-01 	 -2.590453e-02 	 2.265257e-04 	 3.163785e-01
1.650000e+03 	 9.938689e-01 	 -1.099483e-02 	 4.698720e-04 	 3.177451e-01
1.660000e+03 	 9.938807e-01 	 9.379130e-02 	 9.006347e-04 	 3.175094e-01
1.670000e+03 	 9.939601e-01 	 -1.543113e-01 	 9.889790e-04 	 3.201629e-01
1.680000e+03 	 9.939748e-01 	 -2.507682e-01 	 1.070134e-03 	 3.233880e-01
1.690000e+03 	 9.939510e-01 	 -5.510834e-01 	 1.122317e-03 	 3.275257e-01
1.700000e+03 	 9.929977e-01 	 1.268454e-01 	 1.174833e-03 	 3.318387e-01
1.710000e+03 	 9.923176e-01 	 7.523203e-02 	 1.016863e-03 	 3.391911e-01
1.720000e+03 	 9.914638e-01 	 -1.537416e-01 	 5.927460e-04 	 3.485678e-01
1.730000e+03 	 9.904293e-01 	 -2.038456e-01 	 7.899383e-04 	 3.535376e-01
1.740000e+03 	 9.890432e-01 	 -5.966578e-01 	 5.059756e-04 	 3.617886e-01
1.750000e+03 	 9.883634e-01 	 -5.427759e-01 	 5.208042e-04 	 3.679871e-01
1.760000e+03 	 9.874639e-01 	 -7.403571e-01 	 5.489182e-04 	 3.739336e-01
1.770000e+03 	 9.869241e-01 	 -7.767635e-01 	 6.907049e-04 	 3.786898e-01
1.780000e+03 	 9.862560e-01 	 -2.646718e-01 	 8.380535e-04 	 3.824579e-01
1.790000e+03 	 9.856508e-01 	 -4.782014e-01 	 1.032481e-03 	 3.849457e-01
1.800000e+03 	 9.853896e-01 	 -5.520962e-02 	 3.993719e-04 	 3.919620e-01
1.810000e+03 	 9.842677e-01 	 -2.429208e-01 	 5.219138e-04 	 3.935579e-01
1.820000e+03 	 9.839281e-01 	 -4.504310e-01 	 7.654269e-04 	 3.932487e-01
1.830000e+03 	 9.837166e-01 	 -8.127664e-02 	 8.910141e-04 	 3.925584e-01
1.840000e+03 	 9.833722e-01 	 -9.455889e-02 	 9.674551e-04 	 3.912617e-01
1.850000e+03 	 9.839434e-01 	 -8.198991e-01 	 1.136700e-03 	 3.881072e-01
1.860000e+03 	 9.847451e-01 	 -5.549870e-01 	 9.103523e-04 	 3.883687e-01
1.870000e+03 	 9.856936e-01 	 -1.461175e-01 	 9.344478e-04 	 3.861734e-01
1.880000e+03 	 9.866458e-01 	 -2.214029e-01 	 1.015539e-03 	 3.831172e-01
1.890000e+03 	 9.877330e-01 	 -5.518086e-01 	 1.019591e-03 	 3.805662e-01
1.900000e+03 	 9.890602e-01 	 -1.753164e-01 	 9.348435e-04 	 3.791271e-01
1.910000e+03 	 9.901145e-01 	 -7.868038e-01 	 8.513076e-04 	 3.773231e-01
1.920000e+03 	 9.904965e-01 	 -6.975904e-01 	 7.365973e-04 	 3.761101e-01
1.930000e+03 	 9.913609e-01 	 -6.681775e-01 	 6.316303e-04 	 3.749273e-01
1.940000e+03 	 9.920555e-01 	 -3.812469e-02 	 4.813472e-04 	 3.743381e-01
1.950000e+03 	 9.928937e-01 	 -3.576318e-01 	 1.573663e-04 	 3.740492e-01
1.960000e+03 	 9.936134e-01 	 -7.232346e-01 	 6.778651e-04 	 3.715166e-01
1.970000e+03 	 9.938931e-01 	 -5.074251e-01 	 8.301242e-04 	 3.707943e-01
1.980000e+03 	 9.940606e-01 	 6.054549e-02 	 8.634076e-04 	 3.717948e-01
1.990000e+03 	 9.940687e-01 	 -4.137278e-01 	 8.516267e-04 	 3.742801e-01
2.000000e+03 	 9.937772e-01 	 -2.229235e-01 	 7.510679e-04 	 3.786007e-01
2.010000e+03 	 9.936757e-01 	 9.547078e-02 	 4.978221e-04 	 3.847614e-01
2.020000e+03 	 9.931917e-01 	 2.666554e-01 	 6.894499e-04 	 3.897386e-01
2.030000e+03 	 9.923299e-01 	 1.081907e-01 	 7.804823e-04 	 3.962465e-01
2.040000e+03 	 9.911332e-01 	 1.300231e-01 	 4.959442e-04 	 4.054329e-01
2.050000e+03 	 9.904195e-01 	 2.452740e-01 	 1.978137e-04 	 4.142221e-01
2.060000e+03 	 9.895861e-01 	 2.238373e-01 	 3.900403e-04 	 4.217891e-01
2.070000e+03 	 9.887974e-01 	 1.027909e-02 	 7.081748e-04 	 4.282303e-01
2.080000e+03 	 9.875789e-01 	 -2.106821e-01 	 9.283964e-04 	 4.340854e-01
2.090000e+03 	 9.865899e-01 	 2.010986e-01 	 6.937882e-04 	 4.418006e-01
2.100000e+03 	 9.841141e-01 	 -3.253226e-01 	 5.750304e-04 	 4.481879e-01
2.110000e+03 	 9.832638e-01 	 5.137817e-02 	 1.037427e-03 	 4.501258e-01
2.120000e+03 	 9.822638e-01 	 -3.551953e-01 	 1.295067e-03 	 4.521463e-01
2.130000e+03 	 9.815069e-01 	 7.962625e-02 	 1.439880e-03 	 4.542282e-01
2.140000e+03 	 9.810480e-01 	 -8.236089e-01 	 1.510433e-03 	 4.567607e-01
2.150000e+03 	 9.801059e-01 	 -4.960365e-01 	 1.502201e-03 	 4.596334e-01
2.160000e+03 	 9.800737e-01 	 -3.145463e-01 	 1.272653e-03 	 4.644398e-01
2.170000e+03 	 9.804314e-01 	 -1.040037e+00 	 6.137351e-04 	 4.709068e-01
2.180000e+03 	 9.808354e-01 	 -6.542780e-01 	 1.232461e-03 	 4.681603e-01
2.190000e+03 	 9.817118e-01 	 -1.120430e+00 	 1.216106e-03 	 4.687826e-01
2.200000e+03 	 9.811278e-01 	 -1.019458e+00 	 1.142914e-03 	 4.689817e-01
2.210000e+03 	 9.818831e-01 	 -6.746290e-01 	 1.060166e-03 	 4.682306e-01
2.220000e+03 	 9.828383e-01 	 -1.554532e-01 	 9.773112e-04 	 4.664037e-01
2.230000e+03 	 9.841828e-01 	 -6.415545e-01 	 8.126531e-04 	 4.633186e-01
2.240000e+03 	 9.854277e-01 	 -2.279517e-01 	 2.210987e-04 	 4.610858e-01
2.250000e+03 	 9.870403e-01 	 -1.649751e-01 	 9.003898e-04 	 4.530212e-01
2.260000e+03 	 9.886056e-01 	 -1.891317e-01 	 1.159849e-03 	 4.456282e-01
2.270000e+03 	 9.898505e-01 	 -5.532419e-01 	 1.237627e-03 	 4.398330e-01
2.280000e+03 	 9.907739e-01 	 2.938158e-02 	 1.254951e-03 	 4.362118e-01
2.290000e+03 	 9.919961e-01 	 9.564835e-02 	 1.216078e-03 	 4.343274e-01
2.300000e+03 	 9.927541e-01 	 1.623219e-01 	 1.117082e-03 	 4.347532e-01
2.310000e+03 	 9.932152e-01 	 1.054446e-01 	 8.645963e-04 	 4.380277e-01
2.320000e+03 	 9.935222e-01 	 2.248173e-01 	 3.248872e-04 	 4.434481e-01
2.330000e+03 	 9.940417e-01 	 3.724387e-01 	 4.252485e-04 	 4.473956e-01
2.340000e+03 	 9.934893e-01 	 1.274015e-01 	 2.731188e-04 	 4.529124e-01
2.350000e+03 	 9.931366e-01 	 -9.627162e-02 	 1.831998e-04 	 4.585282e-01
2.360000e+03 	 9.926696e-01 	 3.675866e-01 	 1.686651e-04 	 4.637682e-01
2.370000e+03 	 9.915874e-01 	 -1.241256e-01 	 1.757343e-04 	 4.690973e-01
2.380000e+03 	 9.907812e-01 	 1.521938e-02 	 3.673210e-04 	 4.736986e-01
2.390000e+03 	 9.898862e-01 	 4.422685e-01 	 1.162701e-03 	 4.743380e-01
2.400000e+03 	 9.888549e-01 	 4.981612e-01 	 1.101916e-03 	 4.803254e-01
2.410000e+03 	 9.871971e-01 	 -6.160912e-01 	 1.181697e-03 	 4.867204e-01
2.420000e+03 	 9.861676e-01 	 2.935075e-01 	 8.990373e-04 	 4.958527e-01
2.430000e+03 	 9.846849e-01 	 2.909143e-01 	 7.840868e-04 	 5.054783e-01
2.440000e+03 	 9.831491e-01 	 1.395031e-01 	 5.871450e-04 	 5.167828e-01
2.450000e+03 	 9.815354e-01 	 -6.353383e-01 	 3.339843e-04 	 5.294182e-01
2.460000e+03 	 9.804248e-01 	 -9.145155e-01 	 5.993825e-04 	 5.403223e-01
2.470000e+03 	 9.788060e-01 	 1.298094e-01 	 1.077455e-03 	 5.479979e-01
2.480000e+03 	 9.771317e-01 	 -5.363516e-01 	 7.020845e-04 	 5.602332e-01
2.490000e+03 	 9.768809e-01 	 -5.650255e-01 	 3.960447e-04 	 5.688050e-01
2.500000e+03 	 9.762916e-01 	 -1.020760e+00 	 2.107641e-04 	 5.740402e-01
2.510000e+03 	 9.757255e-01 	 -8.109022e-01 	 2.897471e-04 	 5.756684e-01
2.520000e+03 	 9.754323e-01 	 -1.434804e-01 	 4.488229e-04 	 5.743387e-01
2.530000e+03 	 9.763736e-01 	 -2.718556e-01 	 5.316307e-04 	 5.700690e-01
2.540000e+03 	 9.764551e-01 	 -8.457371e-02 	 5.664838e-04 	 5.639281e-01
2.550000e+03 	 9.768771e-01 	 -2.711205e-01 	 1.407616e-03 	 5.508898e-01
2.560000e+03 	 9.780289e-01 	 -6.064795e-01 	 1.590437e-03 	 5.404701e-01
2.570000e+03 	 9.790335e-01 	 -8.076766e-02 	 1.669767e-03 	 5.320935e-01
2.580000e+03 	 9.804291e-01 	 -2.375036e-03 	 1.605803e-03 	 5.258217e-01
2.590000e+03 	 9.822620e-01 	 -5.788655e-01 	 8.877212e-04 	 5.257797e-01
2.600000e+03 	 9.838679e-01 	 -4.851342e-01 	 5.589713e-04 	 5.237739e-01
2.610000e+03 	 9.860973e-01 	 -9.611611e-01 	 1.242139e-03 	 5.174913e-01
2.620000e+03 	 9.857396e-01 	 1.935138e-01 	 1.127214e-03 	 5.179021e-01
2.630000e+03 	 9.882549e-01 	 -6.838115e-01 	 9.769617e-04 	 5.182257e-01
2.640000e+03 	 9.900342e-01 	 -2.666428e-01 	 7.121252e-04 	 5.194286e-01
2.650000e+03 	 9.916064e-01 	 3.379807e-01 	 4.477263e-04 	 5.198647e-01
2.660000e+03 	 9.929711e-01 	 -2.173770e-01 	 2.586690e-04 	 5.189063e-01
2.670000e+03 	 9.942442e-01 	 -1.671280e-01 	 2.936708e-04 	 5.173302e-01
2.680000e+03 	 9.939801e-01 	 -5.620159e-01 	 4.081763e-04 	 5.155725e-01
2.690000e+03 	 9.940825e-01 	 -2.952114e-02 	 8.313369e-04 	 5.133217e-01
2.700000e+03 	 9.940858e-01 	 4.117265e-01 	 7.496680e-04 	 5.144828e-01
2.710000e+03 	 9.935364e-01 	 5.002747e-01 	 4.547970e-04 	 5.183138e-01
2.720000e+03 	 9.925127e-01 	 1.362102e-02 	 3.235494e-04 	 5.239621e-01
2.730000e+03 	 9.918941e-01 	 -9.437521e-03 	 3.424815e-04 	 5.315961e-01
2.740000e+03 	 9.900808e-01 	 -3.445501e-01 	 3.395958e-04 	 5.417027e-01
2.750000e+03 	 9.882821e-01 	 -3.771149e-01 	 3.271057e-04 	 5.531398e-01
2.760000e+03 	 9.867817e-01 	 -4.086520e-01 	 2.865217e-04 	 5.653268e-01
2.770000e+03 	 9.846317e-01 	 -4.628332e-01 	 2.512640e-04 	 5.773728e-01
2.780000e+03 	 9.838966e-01 	 3.246126e-01 	 2.623660e-04 	 5.876716e-01
2.790000e+03 	 9.816264e-01 	 2.097034e-01 	 5.784849e-04 	 5.966180e-01
2.800000e+03 	 9.792022e-01 	 8.116795e-02 	 9.974945e-04 	 6.025948e-01
2.810000e+03 	 9.758391e-01 	 2.557528e-01 	 1.096132e-03 	 6.077665e-01
2.820000e+03 	 9.745514e-01 	 -3.908405e-01 	 3.206133e-04 	 6.150490e-01
2.830000e+03 	 9.732456e-01 	 -4.833704e-01 	 1.181037e-03 	 6.138427e-01
2.840000e+03 	 9.722943e-01 	 -1.041044e+00 	 1.540587e-03 	 6.123813e-01
2.850000e+03 	 9.721583e-01 	 -1.091201e+00 	 1.550795e-03 	 6.129586e-01
